,headline,final_score,datetime
115,"Expedia Group Inc. stock rises Friday, still underperforms market",86,2023-03-31 09:54:00
116,Expedia: Why I Take A More Cautious View Than Previously,86,2023-03-29 11:37:24
117,"Expedia Group Inc. stock rises Wednesday, outperforms market",86,2023-03-29 09:53:00
118,Analysts Offer Insights on Services Companies: Expedia (EXPE) and Dave & Busters Entertainment (PLAY),86,2023-03-28 23:30:00
119,"Expedia Group Inc. stock rises Tuesday, outperforms market",86,2023-03-28 09:53:00
120,Expedia Group Inc. stock underperforms Monday when compared to competitors despite daily gains,86,2023-03-27 09:53:00
122,Expedia Group Inc. stock underperforms Friday when compared to competitors,86,2023-03-24 09:53:00
124,Expedia Group Inc. stock underperforms Thursday when compared to competitors,86,2023-03-23 09:53:00
129,Expedia (EXPE) Gets a Buy from BTIG,86,2023-03-18 03:46:00
134,Expedia Group Inc. stock underperforms Monday when compared to competitors,86,2023-03-13 09:53:00
135,EXPE vs. ZLNDY: Which Stock Is the Better Value Option?,60,2023-03-10 08:40:04
138,Expedia Joins Companies Pushing Back on the ChatGPT Hype,86,2023-03-08 23:30:00
139,Expedia: Financially Attractive With Tailwinds Ahead,86,2023-03-08 22:41:37
140,"Expedia Group Inc. stock falls Tuesday, still outperforms market",86,2023-03-07 08:53:00
142,Are Investors Undervaluing Expedia Group (EXPE) Right Now?,86,2023-03-06 06:40:02
